Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,home_odds,draw_odds,away_odds,over25_odds,under25_odds
E0,02/12/2023,17:30,Nott'm Forest,Everton,0,1,A,0,0,D,P Tierney,2.75,3.25,2.6,2.25,1.62
E0,02/12/2023,20:00,Newcastle,Man United,1,0,H,0,0,D,R Jones,1.91,3.75,3.8,1.73,2.08
E0,03/12/2023,14:00,Bournemouth,Aston Villa,2,2,D,1,1,D,T Bramall,3.4,4,1.95,1.48,2.6
E0,03/12/2023,14:00,Chelsea,Brighton,3,2,H,2,1,H,C Pawson,1.73,4.2,4.2,1.65,2.2
E0,03/12/2023,14:00,Liverpool,Fulham,4,3,H,2,2,D,S Attwell,1.25,6.5,9,1.4,2.88
E0,03/12/2023,14:00,West Ham,Crystal Palace,1,1,D,1,0,H,M Oliver,2,3.5,3.8,2.08,1.73
E0,03/12/2023,16:30,Man City,Tottenham,3,3,D,2,1,H,S Hooper,1.29,6,9,1.29,3.6
E0,05/12/2023,19:30,Wolves,Burnley,1,0,H,1,0,H,J Gillett,1.85,3.6,4.2,1.98,1.92
E0,05/12/2023,20:15,Luton,Arsenal,3,4,A,1,2,A,S Barrott,17,7,1.18,1.62,2.25
E0,06/12/2023,19:30,Brighton,Brentford,2,1,H,1,1,D,P Bankes,1.91,3.8,3.75,1.62,2.25
E0,06/12/2023,19:30,Crystal Palace,Bournemouth,0,2,A,0,1,A,C Pawson,2.25,3.5,3.1,2.07,1.83
E0,06/12/2023,19:30,Fulham,Nott'm Forest,5,0,H,2,0,H,J Smith,2,3.4,3.75,2.1,1.7
E0,06/12/2023,19:30,Sheffield United,Liverpool,0,2,A,0,1,A,S Hooper,12,7.5,1.2,1.3,3.5
E0,06/12/2023,20:15,Aston Villa,Man City,1,0,H,0,0,D,J Brooks,4.75,4.2,1.7,1.62,2.25
E0,06/12/2023,20:15,Man United,Chelsea,2,1,H,1,1,D,C Kavanagh,2.88,3.4,2.45,1.62,2.25
E0,07/12/2023,19:30,Everton,Newcastle,3,0,H,0,0,D,T Robinson,3.25,3.25,2.25,2.04,1.86
E0,07/12/2023,20:15,Tottenham,West Ham,1,2,A,1,0,H,M Salisbury,1.75,4.2,4.2,1.53,2.4
E0,09/12/2023,12:30,Crystal Palace,Liverpool,1,2,A,0,0,D,A Madley,6,4.5,1.5,1.65,2.2
E0,09/12/2023,15:00,Brighton,Burnley,1,1,D,0,1,A,S Hooper,1.5,4.75,6,1.67,2.15
E0,09/12/2023,15:00,Man United,Bournemouth,0,3,A,0,1,A,P Bankes,1.55,4.33,5.75,1.48,2.6
E0,09/12/2023,15:00,Sheffield United,Brentford,1,0,H,1,0,H,S Attwell,4.2,3.8,1.75,1.95,1.95
E0,09/12/2023,15:00,Wolves,Nott'm Forest,1,1,D,1,1,D,S Barrott,1.85,3.6,4.33,2.4,1.53
E0,09/12/2023,17:30,Aston Villa,Arsenal,1,0,H,1,0,H,J Gillett,3.3,3.6,2.1,1.73,2.08
E0,10/12/2023,14:00,Everton,Chelsea,2,0,H,0,0,D,M Oliver,3.1,3.5,2.25,1.91,1.99
E0,10/12/2023,14:00,Fulham,West Ham,5,0,H,3,0,H,P Tierney,2.38,3.5,2.9,1.86,2.04
E0,10/12/2023,14:00,Luton,Man City,1,2,A,1,0,H,T Robinson,17,8,1.14,1.53,2.4
E0,10/12/2023,16:30,Tottenham,Newcastle,4,1,H,2,0,H,C Kavanagh,2.15,3.8,3.1,1.5,2.5
E0,15/12/2023,20:00,Nott'm Forest,Tottenham,0,2,A,0,1,A,J Gillett,4.2,4.2,1.73,1.7,2.1
E0,16/12/2023,15:00,Chelsea,Sheffield United,2,0,H,0,0,D,A Madley,1.22,6.5,13,1.4,2.88
E0,16/12/2023,15:00,Man City,Crystal Palace,2,2,D,1,0,H,P Tierney,1.18,8,13,1.73,2.08
E0,16/12/2023,15:00,Newcastle,Fulham,3,0,H,0,0,D,S Barrott,1.8,3.8,4,1.8,2
E0,16/12/2023,17:30,Burnley,Everton,0,2,A,0,2,A,A Taylor,3.6,3.4,2.1,1.99,1.91
E0,17/12/2023,14:00,Arsenal,Brighton,2,0,H,0,0,D,T Robinson,1.44,5,6,1.57,2.35
E0,17/12/2023,14:00,Brentford,Aston Villa,1,2,A,1,0,H,D Coote,3.2,3.75,2.1,1.98,1.92
E0,17/12/2023,14:00,West Ham,Wolves,3,0,H,2,0,H,C Kavanagh,2.15,3.5,3.3,2.03,1.87
E0,17/12/2023,16:30,Liverpool,Man United,0,0,D,0,0,D,M Oliver,1.3,6,8,1.36,3.1
E0,21/12/2023,20:00,Crystal Palace,Brighton,1,1,D,1,0,H,J Brooks,3.3,3.3,2.15,2.1,1.7
E0,22/12/2023,20:00,Aston Villa,Sheffield United,1,1,D,0,0,D,A Taylor,1.22,6.5,12,1.4,2.88
E0,23/12/2023,12:30,West Ham,Man United,2,0,H,0,0,D,S Hooper,2.6,3.6,2.6,1.6,2.3
